valid_time,station,fc_windspd__gfs,fc_gust__gfs,fc_windspd__harmeu,fc_gust__harmeu,fc_windspd__icon,fc_gust__icon,fc_windspd__iconeu,fc_gust__iconeu,fc_windspd__wrfeuh,fc_gust__wrfeuh,fc_winddir_sin__gfs,fc_winddir_cos__gfs,fc_winddir_sin__harmeu,fc_winddir_cos__harmeu,fc_winddir_sin__icon,fc_winddir_cos__icon,fc_winddir_sin__iconeu,fc_winddir_cos__iconeu,fc_winddir_sin__wrfeuh,fc_winddir_cos__wrfeuh,y_speed,y_gust,y_dir_sin,y_dir_cos
2024-11-29 06:00:00,station3402_Holnis,5.0,5.5,1.8,2.7,3.0,5.3,2.7,4.8,1.6,1.7,-0.7771459614569706,-0.6293203910498378,0.06975647374412552,-0.9975640502598242,-0.848048096156426,-0.529919264233205,-0.8910065241883678,-0.45399049973954697,-0.7313537016191703,-0.6819983600624986,2.71,4.9,-0.24902797131175525,-0.9684962929739853
2024-11-29 09:00:00,station3402_Holnis,,,4.9,7.4,,,4.0,6.8,,,,,-0.3090169943749473,-0.9510565162951536,,,-0.6293203910498376,-0.7771459614569708,,,2.29,4.5,-0.10799935570602222,-0.9941509639723155
2024-11-29 12:00:00,station3402_Holnis,7.8,13.7,6.5,11.1,7.1,11.9,6.9,11.6,8.1,10.0,-0.587785252292473,-0.8090169943749475,-0.5000000000000001,-0.8660254037844386,-0.4067366430758002,-0.9135454576426009,-0.374606593415912,-0.9271838545667874,-0.5735764363510462,-0.8191520442889918,4.46,8.56,-0.5306591239356473,-0.8475853315058322
2024-11-29 15:00:00,station3402_Holnis,,,6.9,11.9,,,6.7,11.3,,,,,-0.1045284632676535,-0.9945218953682733,,,-0.46947156278589086,-0.8829475928589269,,,9.95,12.08,0.08993729969864378,-0.9959474293972129
2024-11-29 18:00:00,station3402_Holnis,8.2,15.8,8.1,13.4,6.2,10.2,6.2,10.3,7.9,17.7,-0.46947156278589086,-0.8829475928589269,-0.12186934340514731,-0.9925461516413221,-0.34202014332566866,-0.9396926207859084,-0.35836794954530043,-0.9335804264972016,-0.4226182617406993,-0.90630778703665,9.59,12.04,-0.006632202535816597,-0.9999780067029094
2024-11-29 21:00:00,station3402_Holnis,,,6.6,12.5,,,7.4,12.4,,,,,0.12186934340514755,-0.992546151641322,,,-0.2079116908177595,-0.9781476007338056,,,8.56,11.38,0.060700121050418804,-0.9981560475719538
2024-11-30 00:00:00,station3402_Holnis,10.5,21.6,8.1,14.6,8.4,14.1,7.9,13.5,9.2,19.6,-0.2419218955996675,-0.9702957262759965,0.20791169081775931,-0.9781476007338057,-0.17364817766693047,-0.984807753012208,-0.17364817766693047,-0.984807753012208,-0.2588190451025208,-0.9659258262890683,6.54,9.72,-0.0937607909083658,-0.9955947539477283
2024-11-30 03:00:00,station3402_Holnis,,,9.2,15.5,,,8.0,13.4,,,,,0.12186934340514755,-0.992546151641322,,,-0.1045284632676535,-0.9945218953682733,,,5.81,10.35,-0.3457895454409759,-0.9383120964070127
2024-11-30 06:00:00,station3402_Holnis,11.7,23.5,8.5,14.7,8.8,14.9,8.4,14.0,11.1,21.1,-0.19080899537654472,-0.981627183447664,0.10452846326765373,-0.9945218953682733,-0.1045284632676535,-0.9945218953682733,-0.12186934340514731,-0.9925461516413221,-0.17364817766693047,-0.984807753012208,8.9,12.99,0.03228298102577438,-0.9994787687270248
2024-11-30 09:00:00,station3402_Holnis,,,9.7,16.6,,,8.6,14.4,,,,,0.03489949670250114,-0.9993908270190958,,,-0.08715574274765794,-0.9961946980917455,,,8.02,12.56,-0.07845909572784437,-0.9969173337331281
2024-11-30 12:00:00,station3402_Holnis,11.8,25.2,9.9,17.4,9.4,16.1,8.8,14.9,11.6,18.8,-0.35836794954530043,-0.9335804264972016,-0.06975647374412527,-0.9975640502598242,-0.3090169943749473,-0.9510565162951536,-0.3090169943749473,-0.9510565162951536,-0.275637355816999,-0.9612616959383189,8.11,12.58,-0.1830935077692688,-0.9830955026917501
2024-11-30 15:00:00,station3402_Holnis,,,9.4,16.0,,,8.9,14.8,,,,,-0.1045284632676535,-0.9945218953682733,,,-0.17364817766693047,-0.984807753012208,,,11.32,15.38,-0.012217000835246286,-0.999925369660452
2024-11-30 18:00:00,station3402_Holnis,9.1,19.3,7.4,15.0,7.5,13.5,7.2,12.8,9.2,23.2,-0.5000000000000001,-0.8660254037844386,-0.17364817766693047,-0.984807753012208,-0.39073112848927355,-0.9205048534524404,-0.4226182617406993,-0.90630778703665,-0.34202014332566866,-0.9396926207859084,4.52,8.76,-0.43742969167293266,-0.8992526145877604
2024-11-30 21:00:00,station3402_Holnis,,,7.7,13.0,,,6.4,11.0,,,,,-0.08715574274765794,-0.9961946980917455,,,-0.39073112848927355,-0.9205048534524404,,,3.07,5.36,-0.35755311057858596,-0.9338928060091145
