valid_time,station,fc_windspd__gfs,fc_gust__gfs,fc_windspd__harmeu,fc_gust__harmeu,fc_windspd__icon,fc_gust__icon,fc_windspd__iconeu,fc_gust__iconeu,fc_windspd__wrfeuh,fc_gust__wrfeuh,fc_winddir_sin__gfs,fc_winddir_cos__gfs,fc_winddir_sin__harmeu,fc_winddir_cos__harmeu,fc_winddir_sin__icon,fc_winddir_cos__icon,fc_winddir_sin__iconeu,fc_winddir_cos__iconeu,fc_winddir_sin__wrfeuh,fc_winddir_cos__wrfeuh,y_speed,y_gust,y_dir_sin,y_dir_cos
2024-11-15 21:00:00,station3529_schausende,,,11.6,21.4,,,10.8,20.5,,,,,-0.7660444431189779,-0.6427876096865395,,,-0.90630778703665,-0.42261826174069916,,,19.53,29.1,-0.9713005710050199,-0.23785541987796335
2024-11-16 00:00:00,station3529_schausende,17.0,28.6,13.6,24.7,14.4,25.0,13.7,26.5,14.7,30.1,-0.913545457642601,-0.4067366430758001,-0.7431448254773944,-0.6691306063588581,-0.90630778703665,-0.42261826174069916,-0.8987940462991668,-0.43837114678907774,-0.8571673007021121,-0.5150380749100544,16.67,27.47,-0.956610402487592,-0.2913701045964175
2024-11-16 03:00:00,station3529_schausende,,,15.7,27.6,,,14.7,25.7,,,,,-0.7660444431189779,-0.6427876096865395,,,-0.754709580222772,-0.6560590289905073,,,27.12,39.51,-0.9927573419294455,-0.1201368388346469
2024-11-16 06:00:00,station3529_schausende,16.8,28.4,13.0,23.0,15.4,26.3,16.3,27.3,15.0,27.6,-0.882947592858927,-0.46947156278589075,-0.6156614753256582,-0.788010753606722,-0.7193398003386512,-0.6946583704589973,-0.7431448254773944,-0.6691306063588581,-0.8660254037844384,-0.5000000000000004,13.83,25.11,-0.9131190231965356,-0.40769308244880076
2024-11-16 09:00:00,station3529_schausende,,,13.5,23.9,,,12.0,22.3,,,,,-0.6691306063588582,-0.7431448254773942,,,-0.6819983600624984,-0.7313537016191706,,,10.83,21.35,-0.8038568606172165,-0.5948227867513424
2024-11-16 12:00:00,station3529_schausende,15.9,26.6,14.6,26.5,15.6,26.9,15.3,25.5,15.9,27.9,-0.9335804264972015,-0.3583679495453007,-0.656059028990507,-0.7547095802227721,-0.7880107536067221,-0.6156614753256581,-0.7660444431189779,-0.6427876096865395,-0.9271838545667873,-0.3746065934159123,11.45,20.14,-0.8832751306439413,-0.4688550347238776
2024-11-16 15:00:00,station3529_schausende,,,7.2,13.7,,,8.7,16.7,,,,,-0.7771459614569706,-0.6293203910498378,,,-1.0,-1.8369701987210297e-16,,,12.23,18.29,-0.9990633867545954,0.04327065109791773
2024-11-16 18:00:00,station3529_schausende,10.6,21.5,6.2,11.2,7.0,12.0,7.4,12.0,7.6,19.9,-0.9743700647852352,0.22495105434386492,-0.7880107536067221,-0.6156614753256581,-0.9702957262759965,-0.24192189559966779,-0.9743700647852351,-0.22495105434386525,-0.9925461516413221,-0.12186934340514717,7.63,11.47,-0.9893232652886302,-0.14573769848135554
2024-11-16 21:00:00,station3529_schausende,,,6.8,13.4,,,6.8,11.0,,,,,-0.8290375725550418,-0.5591929034707466,,,-0.7986355100472928,-0.6018150231520483,,,6.66,11.3,-0.9573699285159979,-0.28886470877085885
2024-11-17 00:00:00,station3529_schausende,12.2,24.2,8.9,15.2,8.2,14.3,8.1,15.4,10.7,26.7,-0.9925461516413221,-0.12186934340514717,-0.8191520442889916,-0.5735764363510464,-0.9945218953682734,-0.10452846326765336,-0.9986295347545738,-0.052335956242944306,-0.8910065241883678,-0.45399049973954697,10.04,15.18,-0.9360595357389729,-0.35184164840470267
